# !SESSION 2022-05-16 21:22:10.925
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| Worker-14: Project association | 2022-05-16 21:24:19.282 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Openning 1C:Enterprise connection with localhost:5807... |
| Worker-14: Project association | 2022-05-16 21:24:19.363 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Trying to get connection directory for agent base direcotory "C:\Users\klyaksa\AppData\Local\Temp\1cedt\ssh-11147" and username "".. |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.074 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/InfoBaseEDT/src/Catalogs/Склады/Склады.mdo : [com._1c.g5.v8.dt.metadata.mdtype.impl.MdObjectTypeImpl@9a90e790, com._1c.g5.v8.dt.metadata.mdtype.impl.MdManagerTypeImpl@3e973c22, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@c7949522, com._1c.g5.v8.dt.metadata.mdtype.impl.MdSelectionTypeImpl@31f7d9f4, com._1c.g5.v8.dt.metadata.mdtype.impl.CatalogTypesImpl@96777064, com._1c.g5.v8.dt.metadata.mdtype.impl.MdListTypeImpl@fc123535, com._1c.g5.v8.dt.metadata.mdtype.impl.MdRefTypeImpl@e6172b27, com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7] |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.084 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.084 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.MdObjectTypeImpl@9a90e790 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.MdManagerTypeImpl@3e973c22 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@c7949522 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.MdSelectionTypeImpl@31f7d9f4 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.CatalogTypesImpl@96777064 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.MdListTypeImpl@fc123535 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdtype.impl.MdRefTypeImpl@e6172b27 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.548 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@6843bb7 |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://InfoBaseEDT/Catalog.Склады#/] |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://InfoBaseEDT/Configuration#/, bm://InfoBaseEDT/Catalog.Склады#/] |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.562 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
| Worker-11: Экспорт ресурсов проекта: InfoBaseEDT | 2022-05-16 21:24:32.567 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/InfoBaseEDT/src/Configuration/Configuration.mdo : [com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@9db663f9] |
